nu,unc,A,S,"E""",g',"g""",J',"J""",Grve',v1',v2',v3',Ka',Kc',"Grve""","v1""","v2""","v3""","Ka""","Kc"""
51.00573,6.2e-05,0.0012924,1.9090335561722155e-30,2471.254912,23,21,11,10, A1,0,0,0,8,4, A2,0,0,0,9,1
51.00994,6.2e-05,0.0012927,5.727868761168185e-30,2471.254532,69,63,11,10, B1,0,0,0,8,3, B2,0,0,0,9,2
51.434477,4e-06,0.0035985,3.541865634050161e-22,610.114408,13,11,6,5, A2,0,0,0,3,3, A1,0,0,0,4,2
52.51067,2e-06,0.00028804,3.237690175144748e-23,704.214032,39,45,6,7, B1,0,0,0,4,3, B2,0,0,0,1,6
53.105671,2e-06,0.060863,1.3490345514724655e-26,2000.862784,33,33,5,5, B1,0,1,0,2,3, B2,0,1,0,1,4
53.24549,2e-06,0.00029008,2.901602933955422e-25,1201.921026,51,57,8,9, B2,0,0,0,5,4, B1,0,0,0,2,7
53.444275,5e-06,0.037107,1.1644905637408366e-19,222.052782,9,9,4,4, A2,0,0,0,1,3, A1,0,0,0,0,4
54.835237,4e-06,0.040952,1.4104976038224272e-25,1677.061219,21,15,3,2, B1,0,1,0,0,3, B2,0,1,0,1,2
54.925677,2e-06,0.00041905,4.196880830125969e-30,2337.666543,45,51,7,8, B1,0,1,0,2,5, B2,0,1,0,1,8
55.405262,5e-06,0.030512,6.339682960273586e-19,79.496382,15,15,2,2, B1,0,0,0,2,1, B2,0,0,0,1,2
55.70203,5e-06,0.055726,2.00657536630382e-18,23.794352,15,9,2,1, B2,0,0,0,1,2, B1,0,0,0,0,1
56.488373,2.9e-05,0.00048753,2.2210572388856137e-26,1524.847291,63,69,10,11, B1,0,0,0,4,7, B2,0,0,0,1,10
57.168997,5e-06,0.00025138,7.750112431406133e-22,325.347904,27,33,4,5, B2,0,0,0,3,2, B1,0,0,0,0,5
57.265292,7e-06,0.05034,1.4048781995856328e-18,79.496382,21,15,3,2, B1,0,0,0,0,3, B2,0,0,0,1,2
57.271496,5e-06,0.00030557,1.1391334365120209e-22,446.6966,11,13,5,6, A2,0,0,0,3,3, A1,0,0,0,0,6
58.018545,3e-06,0.049516,1.6745957699195416e-26,1817.451157,9,9,4,4, A2,0,1,0,1,3, A1,0,1,0,0,4
58.053367,2e-06,0.007212,7.335595722826536e-30,2572.138963,51,45,8,7, B2,0,1,0,3,6, B1,0,1,0,4,3
58.504374,1.1e-05,0.062385,2.5384745572492546e-25,1618.556845,15,9,2,1, B2,0,1,0,1,2, B1,0,1,0,0,1
58.77539,0.0,0.079998,7.171825636810379e-21,602.773495,13,13,6,6, A2,0,0,0,3,3, A1,0,0,0,2,4
58.914039,2e-06,0.0066907,1.4664312898555101e-22,757.78015,15,13,7,6, A2,0,0,0,3,5, A1,0,0,0,4,2
59.867715,2e-06,0.074426,1.1855565230424585e-20,542.90578,13,13,6,6, A1,0,0,0,2,4, A2,0,0,0,1,5
59.946698,1e-06,0.090029,4.527441863762998e-21,782.409821,45,45,7,7, B2,0,0,0,3,4, B1,0,0,0,2,5
